DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1016/j.nanoen.2020.104886,"2020, Zhu et al.",Ti3C2Tx,Ti3C2 with surface termination groups (Tx),"LiF/HCl etching (MILD); 1g LiF + 20 mL 9M HCl, 35°C, 24h; vacuum filtration on PTFE membrane",Delaminated/few-layer,11.15 Å (XRD (002) peak at 7.87° 2θ),"0.2–2 µm (bimodal, SEM)",Not reported,Not reported,Not reported,Not reported,Not reported,1 M KOH,Not reported,5 mV s⁻¹,5 A g⁻¹,82 F g⁻¹ at 5 A g⁻¹,Not reported,Not reported
10.1016/j.nanoen.2020.104886,"2020, Zhu et al.",Ti3C2Tx (Expanded MXene),Ti3C2 with surface termination groups (Tx); crumpled/expanded morphology,"LiF/HCl etching + MgO hard template (≤50 nm, 200 mg MgO per 50 mg MXene); MgO removed with 3M acetic acid","Delaminated, crumpled layers",13.60 Å (expanded from 11.15 Å via MgO templating),0.2–2 µm (same precursor; MgO ≤50 nm),Not reported,Not reported (voids from MgO dissolution; no quantified diameter),Not reported,Not reported,Not reported,1 M KOH,Not reported,5 mV s⁻¹,5 A g⁻¹,180 F g⁻¹ at 1 A g⁻¹; 112 F g⁻¹ at 5 A g⁻¹,Not reported,Not reported
10.1016/j.nanoen.2020.104886,"2020, Zhu et al.",Ti3C1.7Tx (MXene Foam),Ti3C1.7 with surface terminations; curved porous layers (carbon loss confirmed by EDX),"LiF/HCl etching + urea composite (200 mg urea per 50 mg MXene); pyrolyzed 550°C, Ar, 2h","Delaminated, porous foam architecture",Slightly decreased vs. pristine (H2O de-intercalation during pyrolysis; exact value not stated),Not reported (post-pyrolysis flake size not measured),Macroporous (numerous macropores by SEM; no quantified %),Not reported (macro-scale visible in SEM; no numerical value given),Not reported,Not reported,~3.5 mg cm⁻² (stated in symmetric device section),1 M KOH,Not reported,5 mV s⁻¹,5 A g⁻¹,203 F g⁻¹ at 5 A g⁻¹,Not reported,811 mF cm⁻² at 5 A g⁻¹
10.1016/j.jobab.2021.10.001,2022; Wei et al.,N/A,"Chitosan-derived N,O-doped porous carbon microsphere","Hydrothermal carbonization of chitosan (210°C, 20h) + KOH activation at 800°C for 2h",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,~0.02 mg (4 mg/1000 µL; 5 µL on GCE),1 mol/L H₂SO₄ (3-electrode); 1 mol/L Na₂SO₄ (2-electrode),2387 m² g⁻¹,5 mV s⁻¹,0.5 A g⁻¹,Not reported,Not reported,Not reported
10.1016/j.jobab.2021.10.001,2022; Wei et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F terminations integrated with N,O-doped porous carbon microspheres (sandwich structure; HCS:Ti₃C₂Tₓ = 20:1 mass ratio)","MILD etching (LiF/HCl, 35°C, 24h) + ultrasonication (300W, 2h) + KOH activation at 800°C with carbon microsphere intercalation via electrostatic self-assembly",Single/few-layer,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,~0.02 mg (4 mg/1000 µL; 5 µL on GCE),1 mol/L H₂SO₄ (3-electrode); 1 mol/L Na₂SO₄ (2-electrode),1649 m² g⁻¹,5 mV s⁻¹,0.5 A g⁻¹,362 F g⁻¹ at 0.5 A g⁻¹ (3-electrode); 194.5 F g⁻¹ at 1 A g⁻¹ (2-electrode),Not reported,Not reported
10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared; compressed 10x to final thickness — exact post-compression value not reported,Not reported,Not reported,200 µm,2.1 mg cm-2,0.5 M H2SO4,Not reported,100 mV s-1,20 A g-1,~280 F g-1 (at 100 mV s-1),Not reported,Not reported
10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared; compressed 10x to final thickness — exact post-compression value not reported,Not reported,Not reported,200 µm,3.2 mg cm-2,0.5 M H2SO4,Not reported,100 mV s-1,20 A g-1,~260 F g-1 (100 mV s-1); 210 F g-1 (200 mV s-1),140 F cm-3 (at 200 mV s-1),~1.4 F cm-2 (at 200 mV s-1)
10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared; compressed 10x to final thickness — exact post-compression value not reported,Not reported,Not reported,200 µm,4.4 mg cm-2,0.5 M H2SO4,Not reported,100 mV s-1,20 A g-1,~255 F g-1 (at 100 mV s-1),Not reported,Not reported
10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared; compressed 10x to final thickness — exact post-compression value not reported,Not reported,Not reported,200 µm,5.8 mg cm-2,0.5 M H2SO4,Not reported,100 mV s-1,20 A g-1,"~250 F g-1 (100 mV s-1); 261 F g-1 (20 A g-1, long-term GCD)",Not reported,Not reported
10.1016/j.ensm.2023.103148,"2024, Spurling et al.",Ti3C2Tx,"Ti3C2 with -OH, =O, -F terminations",MILD (LiF/HCl); 3D networked via sacrificial t-ZnO template,"Delaminated, few-layer","14.7 Å (XRD (002), after ZnO etch)",Micrometer-sized (large flakes),~99.8% as-prepared; compressed 10x to final thickness — exact post-compression value not reported,Not reported,Not reported,200 µm,7.2 mg cm-2,0.5 M H2SO4,Not reported,100 mV s-1,20 A g-1,~230 F g-1 (at 100 mV s-1),Not reported,Not reported
