DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
https://www.sciencedirect.com/science/article/pii/S2352152X22012063,2022 Cho et al.,Ti₃C₂,"Ti₃C₂ with –OH, –F, =O; transforms to TiO₂/Ti₃C₂ hybrid after cycling","Ultra-sonication in 30 wt% HF, 5 h (best: SOM)",Few-layer,,,,,,,~5 mg cm⁻²,3 M KOH,,10 mV s⁻¹,0.4 (2 mA) / 2.0 (10 mA) A g⁻¹,141.45 (initial) → ~240 (post-cycling)  F g⁻¹,,
https://doi.org/10.1016/j.ensm.2021.04.037,2021 Kurra et al.,Ti₃C₂Tₓ (primary); Ti₂CTₓ (secondary),"Ti₃C₂ with –O, –OH, –F, –Cl surface terminations",Mixed-acid etching (HCl/HF) + LiCl-assisted delamination,Delaminated (single-layer flakes),12.16 Å,~220nm,,,,4µm,0.8mg cm⁻²,1 M H₂SO₄ (primary); 1 M Li₂SO₄; 1 M Na₂SO₄,,5mV s⁻¹,,350F g⁻¹,,0.55F cm⁻²
https://doi.org/10.1002/adfm.201701264,2017 Yan et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F surface terminations",1 g LiF in 9 M HCl at 35 °C for 24 h; sonicated 60 min under Ar,Delaminated single layers,.51 (M/G-5%); 1.31 (pure MXene) nm,,,,,,,3 M H₂SO₄,68.1 (M/G-5%); 19.6 (pure MXene)m² g⁻¹,2mV s⁻¹,0.5A g⁻¹,335.4F g⁻¹,1040F cm⁻³,
10.1002/adfm.202100015,2021 Rafieerad et al.,Ta₄C₃Tₓ,"Ta₄C₃ with –OH, =O surface terminations","MethodTwo-step HCl/KOH alkaline-assisted etching, room temperature (22 °C)",Multilayered,0.261nm,~5 (nanoparticle clusters)nm,,32.25nm,,,160mg per electrode,PVA/H₃PO₄ solid gel,41.79m² g⁻¹,1mV s⁻¹,1A g⁻¹,~97 (approx. half of TTO)F g⁻¹,~220 (approx. half of TTO)F cm⁻³,
10.1002/adfm.202100015,2021 Rafieerad et al.,Ta₄C₃Tₓ + Ta₂O₅/TaO₂,"Ta₄C₃ with –OH, =O terminations + Ta₂O₅ and TaO₂ crystals",Two-step HCl/KOH etching + thermal treatment at 220 °C for 2 h in air,"Multilayered, well-delaminated",0.261 / 0.368nm,~5nm,,24.42nm,,,160mg per electrode,PVA/H₃PO₄ solid gel,51.02m² g⁻¹,1mV s⁻¹,1A g⁻¹,194F g⁻¹,447F cm⁻³,
10.1002/advs.202000621,2020 Liang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –F, –OH, =O terminations + Ag nanoparticles","LiF/HCl etching + oxidation-reduction with AgCl colloid at 25°C, 150 rpm, 3 h",Delaminated; partial stacking retained,,20–30 nm (Ag nanoparticles on surface),,,,~5µm,,1 M NaCl (electrochemical); 10 mM NaCl (desalination),,0.5mV s⁻¹,20–100mA g⁻¹,76 mAh g⁻¹ at 100 mA g⁻¹,,
10.1002/advs.202000621,2020 Liang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –F, –OH, =O terminations + Ag nanoparticles; trace AgCl","LiF/HCl etching + oxidation-reduction with AgCl colloid at 25°C, 150 rpm, 6 h",Delaminated; more disordered stacking than Ag-3,,~50–100nm,,,,~5µm,,1 M NaCl (electrochemical); 10 mM NaCl (desalination),,0.5mV s⁻¹,30–100mA g⁻¹,~20–30 mAh g⁻¹¹ at 100 mA g⁻¹,,
10.1002/advs.202000621,2020 Liang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –F, –OH, =O terminations + Ag nanoparticles; no AgCl","iF/HCl (MILD) etching + oxidation-reduction with AgCl colloid at 25°C, 150 rpm, 9 h",Delaminated; disordered stacking,,~100–200nm,,,,~5µm,,1 M NaCl (electrochemical); 10 mM NaCl (desalination),,0.5mV s⁻¹,30–100mA g⁻¹,~25–35mAh g⁻¹¹ at 100 mA g⁻¹,,
10.1002/advs.202000621,2020 Liang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –F, –OH, =O terminations + large Ag particles; no AgCl","LiF/HCl (MILD) etching + oxidation-reduction with AgCl colloid at 25°C, 150 rpm, 12 h",Delaminated; most disordered stacking,,~300–500nm,,,,~5µm,,1 M NaCl (electrochemical); 10 mM NaCl (desalination),,0.5mV s⁻¹,30–100mA g⁻¹,~45mAh g⁻¹¹ at 100 mA g⁻¹,,
https://doi.org/10.1016/j.electacta.2020.136061,"2019 Maughan, Tapia-Ruiz, Bimbo",Ti₃C₂Tₓ,"Ti₃C₂ with =O, –F, –Cl terminations",NaF/HCl etching of Ti₃AlC₂ at 40 °C for 48 h,Multilayer,1.1nm,,,0.15 (interlayer pore height)nm,,,~2.8mg cm⁻²,0.1 M ZnSO₄ in DI water,,0.1mV s⁻¹,20mA g⁻¹,108 (initial discharge); 54 (after 20 cycles)mAh g⁻¹,,
