DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl in-situ HF etching + ultrasonic exfoliation,Single-layer,1.36 nm,~0.440 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl in-situ HF etching + OAIC (2 cycles, DMSO/DCM)",Single-layer,1.47 nm,~1.586 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl in-situ HF etching + OAIC (last 2 of 6 cycles, DMSO/DCM)",Single-layer,1.52 nm,~4.678 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)","LiF/HCl (MILD) etching of Ti₃AlC₂; stirred 400 rpm, 24 h, 35°C",Single- or double-layer,,0.116 ± 0.047 µm,,,,~0.6 µm,,1 M H₂SO₄ (aqueous),,5–50 mV s⁻¹,1 A g⁻¹,,464 F cm⁻³ (0% strain); 36 F cm⁻³ (300% strain),
10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ/RGO (50:50 wt%),"Ti₃C₂Tₓ + reduced graphene oxide, 1:1 weight ratio",LiF/HCl MILD etching + vacuum-assisted filtration; dry transfer onto VHB 4910 at 300% uniaxial prestrain,Single- or double-layer (MXene); single-layer RGO (~1.2 nm),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1 µm,,1 M H₂SO₄ (aqueous),,5–200 mV s⁻¹,0.5 A g⁻¹,~140 F g⁻¹,~490 F cm⁻³,49 mF cm⁻² (stable 0–300% uniaxial strain)
10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ/RGO (50:50 wt%),"Ti₃C₂Tₓ + reduced graphene oxide, 1:1 weight ratio",LiF/HCl MILD etching + vacuum-assisted filtration; dry transfer onto VHB 4910 at 200%×200% biaxial prestrain,Single- or double-layer (MXene); single-layer RGO (~1.2 nm),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1 µm,,1 M H₂SO₄ (aqueous),,5–50 mV s⁻¹,0.5 A g⁻¹,,,~36 mF cm⁻² (stable 0–200%×200% biaxial strain)
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,187 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,1225 µF cm-2
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,104 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~400 µF cm-2
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,78 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~250 µF cm-2
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,44 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~200 µF cm-2
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,19 nm,,1 M Na2SO4 (aqueous),,10 mV/s,,,,187.5 µF cm-2
10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,,,H3PO4-PVA gel (solid-state),,2 mV/s,,,,192 µF cm-2
10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,2.43 mg cm⁻²,3 M PVA/H₂SO₄,,10 mV s⁻¹,2 mA cm⁻²,7.26 F g⁻¹,,7.24 F cm⁻²
10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",40%,~20 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,
10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,
10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,3.13 F cm⁻²
10.1002/aenm.202000681,"2021, Aslam et al.",V₂CTₓ,"V₂C with –OH, –F, =O terminations",HF etching,Multilayer,,,,,,,,,,,10 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ@Sb-0.5,Ti₃C₂ composite with Sb,,,,,,,,,,,,,1000 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",CT-S@Ti₃C₂-450,Ti₃C₂ with covalently bonded S-atom pillars,CTAB pretreatment + thermal S-pillaring (155 °C),,1.37 nm,,,,,,,,,,100 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",PDDA-BP/Ti₃C₂,Ti₃C₂ heterostructure with PDDA-modified black phosphorus nanosheets,Electrostatic adsorption self-assembly,"Few-layer, delaminated",,,,,,,,,,,1000 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",PDDA-NPCN/Ti₃C₂,Ti₃C₂ with N-rich porous carbon nanochips via PDDA electrostatic assembly,Electrostatic self-assembly of exfoliated Ti₃C₂ and PDDA-NPCN,Few-layer,24.6 Å (expanded upon K⁺ intercalation),,,,,,,,,,1000 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",CT-Ti₃C₂Tₓ (Ti₃C₂Tₓ/CTAB),Ti₃C₂ with pre-intercalated CTAB cationic surfactant,CTAB pre-intercalation,,,,,,,,,APC Mg electrolyte,,,200 mA g⁻¹,,300 mAh cm⁻³ at 50 mA g⁻¹,
10.1002/aenm.202000681,"2021, Aslam et al.",FL-V₂CTₓ,"V₂C with surface terminations, few-layer",Delamination in 1-methyl-2-pyrrolidinone,Few-layer,,,,,,,,Chloroaluminate ionic liquid,,,200 mA g⁻¹,,,
10.1002/aenm.202000681,"2021, Aslam et al.",p-Ti₃C₂Tₓ (paper electrode),"Ti₃C₂ with intercalated cations (K⁺, Na⁺, Mg²⁺, NH₄⁺, Al³⁺)",LiF/HCl etching + cation pre-intercalation,Multilayer paper,25.4 Å (KOH-intercalated; original 20.3 Å),,,,,2–20 µm,,1 M KOH,,2 mV s⁻¹,,,450 F cm⁻³,
10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ MXLLC,"Ti₃C₂Tₓ with C₁₂E₆ surfactant, vertically aligned liquid crystal film",Liquid crystal shear alignment,,,,,,,40–200 µm,2.60–6.16 mg cm⁻²,H₂SO₄,,≤2000 mV s⁻¹,20 A g⁻¹,,,≥0.6 F cm⁻²
10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ (inkjet MSC),Ti₃C₂Tₓ hydrophilic 2D MXene ink,Inkjet printing from aqueous MXene ink,,,,,,,,,,,,,,512 F cm⁻³,
10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ/CF,Ti₃C₂Tₓ ink coated on carbon fiber substrate,Ti₃C₂Tₓ ink coating on carbon fiber,,,,,,,,,1 M H₂SO₄,,100 mV s⁻¹,20 A g⁻¹,350 F g⁻¹,,
