DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),12.56–12.84 Å (contracts on charging),Not reported,Not reported,Not reported,Not reported,25 ± 2 µm,4 mg cm⁻²,1M Li₂SO₄ (aqueous),Not reported,2 mV s⁻¹,Not reported,Not reported,~300 F cm⁻³ (E > −0.25 V); ~200 F cm⁻³ (E < −0.25 V),Not reported
10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),Not reported,Not reported,Not reported,Not reported,Not reported,25 ± 2 µm,4 mg cm⁻²,1M Na₂SO₄ (aqueous),Not reported,2 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),12.5–12.6 Å (minimal change),Not reported,Not reported,Not reported,Not reported,25 ± 2 µm,4 mg cm⁻²,0.5M K₂SO₄ (aqueous),Not reported,2 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1016/j.nanoen.2015.04.012,"Come et al., 2015",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, =O, –F terminations",HF etching of Ti₃AlC₂ + DMSO intercalation + delamination,Few/single-layer (delaminated),Not reported,Not reported,Not reported,Not reported,Not reported,25 ± 2 µm,4 mg cm⁻²,1M MgSO₄ (aqueous),Not reported,2 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄,Not reported,5 mV s⁻¹,2 A g⁻¹,Not reported,1075 F cm⁻³,Not reported
10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,Not reported,Not reported,Not reported,Not reported,Not reported,1 M KOH,Not reported,5 mV s⁻¹,2 A g⁻¹,Not reported,687 F cm⁻³,Not reported
10.1002/adfm.202000815,"2020, Zhao et al.",Nb₄C₃Tₓ,"Nb₄C₃ with –OH, –O, –F surface terminations","HF etching (49% HF, 140 h, RT) + TMAOH delamination",Single layer / few-layer,1.77 nm (17.7 Å),~5 µm,Not reported,Not reported,Not reported,Not reported,Not reported,1 M MgSO₄,Not reported,5 mV s⁻¹,2 A g⁻¹,Not reported,506 F cm⁻³,Not reported
10.1002/advs.202100775,2021; Cheng et al.,Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O); derived from Ti₃AlC₂ MAX phase","HF-based etching of Ti₃AlC₂, then ultrasonication exfoliation to few-layer",Few-layer,13.82 Å,Not reported,Not reported,Not reported,Not reported,8.5 µm,Not reported,2 M Zn(CF₃SO₃)₂ – 0.1 M MnSO₄ / PAM hydrogel,Not reported,5 mV s⁻¹,1 mA cm⁻²,Not reported,Not reported,38 mF cm⁻²
10.1002/advs.202100775,2021; Cheng et al.,Ti₃C₂Tₓ,Ti₃C₂Tₓ nanosheets + BC@PPy core-shell nanofibers (51.6 wt% BC@PPy); PPy shell via chemical oxidative polymerization,Vacuum filtration of mixed Ti₃C₂Tₓ + BC@PPy dispersion; BC@PPy by pyrrole polymerization on BC nanofibers,Few-layer,17.16 Å,Not reported,Not reported,Not reported,Not reported,97.2 µm,Not reported,2 M Zn(CF₃SO₃)₂ – 0.1 M MnSO₄ / PAM hydrogel,Not reported,5 mV s⁻¹,1 mA cm⁻²,Not reported,Not reported,388 mF cm⁻²
10.1002/advs.202100775,2021; Cheng et al.,Ti₃C₂Tₓ,"Capacitor-type: MXene/BC@PPy (51.6 wt%); Battery-type: CNTs@MnO₂ (MnO₂ mainly Mn⁴⁺, flower-like; 0.33 mg cm⁻² MnO₂)",Laser-cut interdigital electrodes; CNTs@MnO₂ by electrodeposition on CNTs film; assembled with PAM hydrogel,Few-layer (anode side),17.16 Å,Not reported,Not reported,Not reported,Not reported,Not reported,0.33 mg cm⁻² (MnO₂ only; MXene anode not reported),2 M Zn(CF₃SO₃)₂ – 0.1 M MnSO₄ / PAM hydrogel,Not reported,2–6 mV s⁻¹,0.75 mA cm⁻²,Not reported,28.1 mWh cm⁻³ (energy density); 69.5 mW cm⁻³ (power density),290 mF cm⁻²
