fold,k,ratio,gen_seed,condition,n_real_train,n_synthetic,mean_ks_statistic,max_ks_statistic,n_ks_reject_p05,mean_jensen_shannon,pearson_frobenius_diff,pearson_mean_abs_diff,pearson_max_abs_diff,pearson_offdiag_corr_of_corrs,spearman_frobenius_diff,spearman_mean_abs_diff,spearman_max_abs_diff,spearman_offdiag_corr_of_corrs,mi_frobenius_diff,mi_mean_abs_diff,mi_max_abs_diff,target_assoc_mean_abs_diff,exact_duplicates_of_real,exact_duplicate_fraction,duplicates_within_synthetic,duplicate_within_fraction,nn_dist_mean,nn_dist_median,nn_dist_p05,nn_dist_min,real_to_real_nn_median,privacy_ratio_syn_vs_real_nn,n_syn_closer_than_real_p05
1,1,1.0,0,B_real_plus_1.0x,37,37,0.13513513513513514,0.16216216216216217,0,0.16053817318487637,0.10542817676936987,0.07454897872175548,0.07454897872175548,,0.0023006322739651487,0.0016267926819373835,0.0016267926819373835,,0.45261463183437434,0.0637113736896932,0.18373106501741204,0.04625802206997218,0,0.0,0,0.0,0.07469279484686576,0.01963915001316285,0.0032692516709066414,0.002565120870892923,0.0162813415825464,1.2062365938084623,0
1,1,3.0,0,C_real_plus_3.0x,37,111,0.10810810810810811,0.10810810810810811,0,0.06156289566346858,0.022077722719967344,0.015611307448445216,0.015611307448445216,,0.2062581337642236,0.14584652505956452,0.14584652505956452,,0.6198602621897159,0.09273735108817845,0.23875019689346505,0.053391885924648,0,0.0,0,0.0,0.08548152104069597,0.027398771456813856,0.003317380918789915,0.0006673662907014932,0.0162813415825464,1.682832542877507,3
1,1,5.25,0,D_real_plus_5.25x,37,194,0.0981471161883533,0.11869601560323209,0,0.0578858774384937,0.030938050822094113,0.02187650553299679,0.02187650553299679,,0.20111531199198412,0.14221000090998015,0.14221000090998015,,0.6083022921950791,0.09431555083594197,0.1862393665144709,0.11140388096185445,0,0.0,0,0.0,0.08056680101617739,0.024838092828902446,0.003195914622363278,0.0007702350226170591,0.0162813415825464,1.5255556615511883,7
1,2,1.0,0,B_real_plus_1.0x,37,37,0.10810810810810811,0.10810810810810811,0,0.13509204343594972,0.02198670683096277,0.01554694949613436,0.01554694949613436,,0.2976828391138648,0.21049355418027782,0.21049355418027782,,0.4717651811170818,0.062396899015205586,0.20887893953939513,0.26287827034296385,0,0.0,0,0.0,0.04368447169369815,0.007030441939108529,0.0014334640154464184,0.0008870079647796729,0.0162813415825464,0.43180974390004584,3
1,2,1.0,1,B_real_plus_1.0x,37,37,0.14864864864864866,0.1891891891891892,0,0.10670215368967782,0.0825825372098074,0.05839467206864521,0.05839467206864521,,0.003734418490073689,0.0026406326381195333,0.0026406326381195333,,0.36460896006179416,0.056110318516242694,0.14979160890286614,0.20262478816989976,0,0.0,0,0.0,0.037772483505583966,0.00623582121740544,0.0012285756271715042,0.00020942536218140038,0.0162813415825464,0.38300413917304216,6
1,2,1.0,2,B_real_plus_1.0x,37,37,0.17567567567567569,0.1891891891891892,0,0.13497820180597928,0.04796258606527752,0.03391466985000115,0.03391466985000115,,0.22995615831742924,0.1626035589218615,0.1626035589218615,,0.3937516629297837,0.060739754983503494,0.13526379662780075,0.0658508274565917,0,0.0,0,0.0,0.056042816236509654,0.008176077508584586,0.002490821760596495,0.0018863470534009289,0.0162813415825464,0.5021746805772653,2
1,2,3.0,0,C_real_plus_3.0x,37,111,0.13513513513513514,0.13513513513513514,0,0.057132599975126326,0.07919752817441164,0.05600110922533913,0.05600110922533913,,0.009365255731479408,0.00662223583527527,0.00662223583527527,,0.3993501341048548,0.0613513819199494,0.14494347277592703,0.057596818599134805,0,0.0,0,0.0,0.03077734119575713,0.005881173737003132,0.0017892916353931857,0.0003095279894759678,0.0162813415825464,0.3612216909267324,12
1,2,3.0,1,C_real_plus_3.0x,37,111,0.0945945945945946,0.0990990990990991,0,0.047202737344707035,0.004088360452528874,0.002890907399918069,0.002890907399918069,,0.07317612040085864,0.051743330956370404,0.051743330956370404,,0.40634740009421016,0.061069390491418525,0.1600632450256235,0.033696998287103666,0,0.0,0,0.0,0.04049024372876195,0.006846323185404235,0.00144563683025992,0.00027870496259069406,0.0162813415825464,0.42050117004752813,15
1,2,3.0,2,C_real_plus_3.0x,37,111,0.12612612612612611,0.13513513513513514,0,0.06557981730543158,0.1379600428657745,0.09755248184317594,0.09755248184317594,,0.094293272581108,0.06667541246237302,0.06667541246237302,,0.42900572922731717,0.06035429114139745,0.17680643882782476,0.035811919841993285,0,0.0,0,0.0,0.047665942434291876,0.00860687551971155,0.0022672310472768393,0.0007185917947073194,0.0162813415825464,0.5286342944206834,8
1,2,5.25,0,D_real_plus_5.25x,37,194,0.1058790749512399,0.11368069100027862,0,0.04725303802599255,0.039346727308947414,0.02782233769765463,0.02782233769765463,,0.04493487801362926,0.03177375695522755,0.03177375695522755,,0.4617569167916417,0.06497204633441553,0.18357434834043254,0.03751771759220803,0,0.0,0,0.0,0.037073425386564544,0.006884331269479904,0.0018520079147773235,0.0003163014694044459,0.0162813415825464,0.42283562657145574,19
