fold,k,ratio,gen_seed,variable,type,n_real,n_syn,real_mean,syn_mean,real_median,syn_median,real_std,syn_std,real_iqr,syn_iqr,real_min,syn_min,real_max,syn_max,ks_statistic,ks_pvalue,wasserstein,wasserstein_normalised,mean_shift_in_real_sd,n_categories_real,n_categories_syn,jensen_shannon_distance,total_variation_distance,max_freq_abs_diff,real_freqs,syn_freqs
1,1,1.0,0,interlayer_A,continuous,37,37,14.942432432432433,15.861923897673352,13.4,13.245710125023075,5.733463857722294,6.630901456237801,1.3000000000000007,2.0537337719825395,10.0,10.312852964136344,39.3,38.94575002237596,0.16216216216216217,0.7227565530633371,1.2516444128051638,0.21830510209275109,0.16037276732850997,,,,,,,
1,1,1.0,0,target_cap_F_g,continuous,37,37,317.8135135135135,342.2914709004035,278.0,295.80969513716906,239.01609797268904,323.9573893750968,156.9,147.9231480930325,74.0,76.08930751179169,1609.5,1602.803716259946,0.10810810810810811,0.9845599548024895,52.3733987784959,0.21912080074405824,0.10241133377420865,,,,,,,
1,1,1.0,0,h2so4_M,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.05780914485242873,0.05405405405405403,0.054054054054054,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.459; 2.0=0.081; 3.0=0.459
1,1,1.0,0,composition_family,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,4.0,0.1371018686825264,0.05405405405405406,0.02702702702702703,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.054; mxene_carbon_composite=0.108; mxene_polymer_composite=0.216; pristine_mxene=0.622; structured_pristine_mxene=0.000
1,1,1.0,0,scan_rate_mV_s,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,4.0,0.23812928105228343,0.16216216216216217,0.10810810810810811,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.000; 10.0=0.189; 1000.0=0.108; 2.0=0.297; 5.0=0.405
1,1,1.0,0,layer_class,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,2.0,0.2091123981522669,0.13513513513513511,0.1351351351351351,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.054; multilayer=0.000; single_or_few_layer=0.946
1,1,3.0,0,interlayer_A,continuous,37,111,14.942432432432433,15.62596999775717,13.4,13.462024760907209,5.733463857722294,7.048566876006667,1.3000000000000007,1.655286869044314,10.0,10.03986760670498,39.3,39.22613863218973,0.10810810810810811,0.8874406451263142,0.7589660410564045,0.13237478422998475,0.11921895424597362,,,,,,,
1,1,3.0,0,target_cap_F_g,continuous,37,111,317.8135135135135,314.5306809843994,278.0,283.0713232537011,239.01609797268904,194.72582264978215,156.9,144.46287067794566,74.0,80.65235049174662,1609.5,1582.0476780329498,0.10810810810810811,0.8874406451263142,21.9959550111483,0.09202708603192765,-0.013734775845471349,,,,,,,
1,1,3.0,0,h2so4_M,categorical,37,111,,,,,,,,,,,,,,,,,,3.0,3.0,0.04409777408163731,0.036036036036036015,0.036036036036036,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.495; 2.0=0.036; 3.0=0.468
1,1,3.0,0,composition_family,categorical,37,111,,,,,,,,,,,,,,,,,,5.0,5.0,0.07275913124212192,0.05405405405405407,0.05405405405405406,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.018; mxene_carbon_composite=0.045; mxene_polymer_composite=0.234; pristine_mxene=0.676; structured_pristine_mxene=0.027
1,1,3.0,0,scan_rate_mV_s,categorical,37,111,,,,,,,,,,,,,,,,,,5.0,5.0,0.09153952201437854,0.09009009009009009,0.09009009009009006,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.063; 10.0=0.171; 1000.0=0.027; 2.0=0.468; 5.0=0.270
1,1,3.0,0,layer_class,categorical,37,111,,,,,,,,,,,,,,,,,,3.0,3.0,0.03785515531573654,0.03603603603603607,0.03603603603603611,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.162; multilayer=0.063; single_or_few_layer=0.775
1,1,5.25,0,interlayer_A,continuous,37,194,14.942432432432433,14.909952855317865,13.4,13.432436961206147,5.733463857722294,5.469487194162538,1.3000000000000007,1.5621446753121688,10.0,10.03986760670498,39.3,39.29921129346704,0.0775982167734745,0.9830563128907264,0.22916011050944904,0.03996887679003987,-0.005664913553230467,,,,,,,
1,1,5.25,0,target_cap_F_g,continuous,37,194,317.8135135135135,290.87291203161294,278.0,284.1586519297522,239.01609797268904,139.74757615805495,156.9,162.71369475882045,74.0,75.18768527805646,1609.5,1592.0071665914095,0.11869601560323209,0.7239147990367198,36.883982088543526,0.1543158908600292,-0.11271458998121081,,,,,,,
1,1,5.25,0,h2so4_M,categorical,37,194,,,,,,,,,,,,,,,,,,3.0,3.0,0.04976779870617978,0.046949010866536627,0.04694901086653663,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.485; 2.0=0.036; 3.0=0.479
1,1,5.25,0,composition_family,categorical,37,194,,,,,,,,,,,,,,,,,,5.0,5.0,0.09317832689077372,0.06910002786291448,0.06910002786291447,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.005; mxene_carbon_composite=0.077; mxene_polymer_composite=0.201; pristine_mxene=0.691; structured_pristine_mxene=0.026
1,1,5.25,0,scan_rate_mV_s,categorical,37,194,,,,,,,,,,,,,,,,,,5.0,5.0,0.06107576527000629,0.060880468096962966,0.0530788520479242,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.067; 10.0=0.242; 1000.0=0.062; 2.0=0.361; 5.0=0.268
1,1,5.25,0,layer_class,categorical,37,194,,,,,,,,,,,,,,,,,,3.0,3.0,0.027521618887014973,0.01908609640568405,0.01908609640568404,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.129; multilayer=0.041; single_or_few_layer=0.830
1,2,1.0,0,interlayer_A,continuous,37,37,14.942432432432433,14.740937483651434,13.4,13.530372038529338,5.733463857722294,5.413345172664663,1.3000000000000007,1.108540265723109,10.0,10.1735503456501,39.3,38.97661577631347,0.10810810810810811,0.9845599548024895,0.4255238595401491,0.07421758819793013,-0.03514366773405386,,,,,,,
1,2,1.0,0,target_cap_F_g,continuous,37,37,317.8135135135135,277.67027994901116,278.0,267.1705823979933,239.01609797268904,101.94198698510336,156.9,151.3334346134714,74.0,94.09507786959963,1609.5,454.9455235211541,0.10810810810810811,0.9845599548024895,46.54134441434914,0.19472054313122936,-0.16795200785634642,,,,,,,
1,2,1.0,0,h2so4_M,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.12148426475475606,0.13513513513513517,0.1351351351351352,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.649; 2.0=0.054; 3.0=0.297
1,2,1.0,0,composition_family,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,4.0,0.14101406080475332,0.08108108108108106,0.08108108108108109,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.000; mxene_carbon_composite=0.054; mxene_polymer_composite=0.324; pristine_mxene=0.595; structured_pristine_mxene=0.027
1,2,1.0,0,scan_rate_mV_s,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,5.0,0.12558766394898974,0.10810810810810811,0.05405405405405406,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.027; 10.0=0.243; 1000.0=0.054; 2.0=0.324; 5.0=0.351
1,2,1.0,0,layer_class,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.15228218423529974,0.10810810810810811,0.10810810810810811,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.135; multilayer=0.162; single_or_few_layer=0.703
1,2,1.0,1,interlayer_A,continuous,37,37,14.942432432432433,14.472272107684898,13.4,13.49686806868156,5.733463857722294,4.962094206994285,1.3000000000000007,1.2466275574126318,10.0,10.788241342131396,39.3,39.21848950323839,0.10810810810810811,0.9845599548024895,0.7399707032362679,0.12906171933736277,-0.08200284093781901,,,,,,,
1,2,1.0,1,target_cap_F_g,continuous,37,37,317.8135135135135,264.95788275021636,278.0,265.7569984162644,239.01609797268904,86.64702073361673,156.9,98.28072808134311,74.0,75.40608601327312,1609.5,483.85348603595713,0.1891891891891892,0.5278931711644922,55.42487162848592,0.23188760965723318,-0.2211383718988528,,,,,,,
1,2,1.0,1,h2so4_M,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.1779570091126405,0.18918918918918923,0.1891891891891892,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.649; 2.0=0.108; 3.0=0.243
1,2,1.0,1,composition_family,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,4.0,0.14023258025000845,0.08108108108108109,0.05405405405405406,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.000; mxene_carbon_composite=0.081; mxene_polymer_composite=0.297; pristine_mxene=0.568; structured_pristine_mxene=0.054
1,2,1.0,1,scan_rate_mV_s,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,5.0,0.10861902539606234,0.10810810810810811,0.08108108108108109,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.054; 10.0=0.135; 1000.0=0.027; 2.0=0.459; 5.0=0.324
1,2,1.0,1,layer_class,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811
1,2,1.0,2,interlayer_A,continuous,37,37,14.942432432432433,13.730735149278948,13.4,13.125776028978702,5.733463857722294,3.3394564672886893,1.3000000000000007,1.6315645278870043,10.0,11.479420031739922,39.3,27.38625887300072,0.16216216216216217,0.7227565530633371,1.366101088545451,0.23826802129492372,-0.21133773809727144,,,,,,,
1,2,1.0,2,target_cap_F_g,continuous,37,37,317.8135135135135,306.4446621638178,278.0,275.32193709119434,239.01609797268904,236.88125250060082,156.9,166.54186858530295,74.0,105.4916823301518,1609.5,1552.8873837645372,0.1891891891891892,0.5278931711644922,20.73514967861243,0.08675210521168207,-0.04756521190884293,,,,,,,
1,2,1.0,2,h2so4_M,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.0964805105002271,0.10810810810810811,0.10810810810810811,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.622; 2.0=0.054; 3.0=0.324
1,2,1.0,2,composition_family,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,5.0,0.1039494163983225,0.08108108108108111,0.08108108108108109,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.027; mxene_carbon_composite=0.108; mxene_polymer_composite=0.162; pristine_mxene=0.649; structured_pristine_mxene=0.054
1,2,1.0,2,scan_rate_mV_s,categorical,37,37,,,,,,,,,,,,,,,,,,5.0,4.0,0.2320086236797332,0.16216216216216217,0.08108108108108109,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.000; 10.0=0.270; 1000.0=0.027; 2.0=0.459; 5.0=0.243
1,2,1.0,2,layer_class,categorical,37,37,,,,,,,,,,,,,,,,,,3.0,3.0,0.10747425664563429,0.05405405405405406,0.05405405405405406,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.081; multilayer=0.108; single_or_few_layer=0.811
1,2,3.0,0,interlayer_A,continuous,37,111,14.942432432432433,15.013285621367851,13.4,13.626675826256909,5.733463857722294,5.363704810286134,1.3000000000000007,1.8349758237308116,10.0,10.033860859301878,39.3,38.65119674372387,0.13513513513513514,0.6694609832147828,0.4449275744221414,0.07760188002630851,0.012357833012235215,,,,,,,
1,2,3.0,0,target_cap_F_g,continuous,37,111,317.8135135135135,296.6390486317852,278.0,285.44291222076026,239.01609797268904,163.10312950458913,156.9,183.26859877260472,74.0,79.88491121388425,1609.5,1599.1023475182146,0.13513513513513514,0.6694609832147828,34.0771942783991,0.14257279977138987,-0.08859012033636231,,,,,,,
1,2,3.0,0,h2so4_M,categorical,37,111,,,,,,,,,,,,,,,,,,3.0,3.0,0.0324187261107188,0.03603603603603608,0.03603603603603611,1.0=0.514; 2.0=0.054; 3.0=0.432,1.0=0.550; 2.0=0.045; 3.0=0.405
1,2,3.0,0,composition_family,categorical,37,111,,,,,,,,,,,,,,,,,,5.0,5.0,0.064187761092564,0.027027027027027015,0.01801801801801802,doped_mxene=0.027; mxene_carbon_composite=0.081; mxene_polymer_composite=0.243; pristine_mxene=0.622; structured_pristine_mxene=0.027,doped_mxene=0.009; mxene_carbon_composite=0.090; mxene_polymer_composite=0.252; pristine_mxene=0.613; structured_pristine_mxene=0.036
1,2,3.0,0,scan_rate_mV_s,categorical,37,111,,,,,,,,,,,,,,,,,,5.0,5.0,0.05739162322538975,0.05405405405405403,0.05405405405405406,1.0=0.081; 10.0=0.189; 1000.0=0.054; 2.0=0.378; 5.0=0.297,1.0=0.090; 10.0=0.225; 1000.0=0.054; 2.0=0.387; 5.0=0.243
1,2,3.0,0,layer_class,categorical,37,111,,,,,,,,,,,,,,,,,,3.0,3.0,0.07453228947183274,0.05405405405405406,0.05405405405405406,delaminated=0.135; multilayer=0.054; single_or_few_layer=0.811,delaminated=0.081; multilayer=0.054; single_or_few_layer=0.865
1,2,3.0,1,interlayer_A,continuous,37,111,14.942432432432433,14.987546104620362,13.4,13.292415800607731,5.733463857722294,5.529411197678542,1.3000000000000007,1.874030947436987,10.0,10.39305673375709,39.3,39.21848950323839,0.09009009009009009,0.9720505544339586,0.4917752671632473,0.08577280320706732,0.007868484620717773,,,,,,,
1,2,3.0,1,target_cap_F_g,continuous,37,111,317.8135135135135,304.8798041023414,278.0,274.8584066985638,239.01609797268904,198.0535614962817,156.9,153.09095806549706,74.0,77.01945261583924,1609.5,1595.420777947377,0.0990990990990991,0.9379669797917024,20.294550036077876,0.08490871622545196,-0.05411229419639332,,,,,,,
